sentiment,text
0,Ekskluzivno iz Wuhana! Javile su nam se Hrvatice u najvećoj svjetskoj karanteni: 'Ceste su prazne...' 2 url
0,"Vjeruje se da je trenutna epidemija coronavirusa započela na tržnici Huanana u Wuhanu, koja je do prije nekoliko dana navodno prodavala sve vrste „egzotične"" divljači kao hranu, uključujući štenad vuka, žive lisice, krokodile, zmije, štakora , divokoza, pauna i najmanje 100 dru"
1,"Padaju helikopteri, umiru legende, strašni požari, potresi, poplave, koronavirusi, Ameri rade rusvaj pa svi drhte od svjetskog rata, padaju ministri, impičmenti, novi predsjednik.... A tek je 27.1."
3,Državna dalekovidnica postavljanjem pozadine za vremensku prognozu u svakom pogledu sve više napreduje:winking_face_with_tongue: url
0,10 pravila kako se zaštititi od koronavirusa i zašto maske za lice nisu najpametnija ideja - url #vijesti #hrvatska url
0,"Veleposlanstvo RH u Pekingu pravovremeno informira hrvatske državljane u Wuhanu o svim mjerama, kao i opcijama vezano uz napuštanje grada te im stoji na raspolaganju kako bi njihov povratak kući prošao u najboljem redu."
3,"Okej, znači Kujundžić je razriješen jer nije mogao biti fokusiran na koronavirus, već na ono što pišu mediji. Literally, right now, premijer."
3,"""Nije se bavio koronavirusom"" :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy: #slučajnadržava"
3,"Nego, u čitavoj ovoj gunguli oko novog #coronavirus mi je promakla jedna stvar. Gdje je Ivan Pernar? Materijala koliko hoćeš, za teorije zavjere, za zdravstvene savjete, za mišljenje o kinezima... #gdjejeivanpernar"
0,"Izbor za Kujundžićeva nasljednika, kažu izvori, sveo se na dva imena: Dario Nakić ili Vili Beroš."
0,"Petak i ponedjeljak donijeli su korekciju na burzama, koja je bez ikakve sumnje izazvana širenjem vijesti o dosad nepoznatom koronavirusu iz Kine. To je drugi neočekivani događaj ove godine (nakon ubojstva Soulemania) koji je potresao tržišta. url"
3,Sjetimo se i Plenkovićevih izjava da ustaški pozdrav 'za dom spremni' ima dvostruke konotacije url #politikahr #vjerodostojno #dvostrukekonotacije #alwaysonhiswatch url
3,"Dok se epidemija širi, maski po ljekarnama sve manje ima za kupit, urota farmaceutske industrije sve je jača, razmišljam o tome kako će anti-cjepljaši riješiti problem. C vitaminom? url"
0,"Sjednica Odbora za zadravstvo, na kojoj će biti predstavljen Vili Beroš, zakazana za četvrtak u 8:30 user"
2,"Kolege hrvale novog ministra: Vili Beroš je izniman liječnik i stručnjak, ali prije svega čovjeku s jasnim stavovima, vizijama i mišljenjima url"
0,Vili Beroš to be proposed as new Minister of Health url
3,"Zbrojite sve žrtve ptičje, konjske gripe, kravljih ludila, sarsove, koronavirusa... pa ćete vidjeti da je to sve pičkin dim za virus zvan HDZ..."
1,"Ljudi ideja za film: Coronavirus dođe na Balkan, neki su u karanteni, neki mrtvi, i ono klasičan apokaliptični scenarij. Svi znaju za situaciju - OSIM ZADRUGARA. Produkcija je raspuštena/mrtva, a oni su tamo zatvoreni prepusteni sami sebi, dok ne pocne borba za prezivljavanje."
0,"Nakon što ga je predstavio PVRH user , resorni saborski odbor podržao je (9 glasova za, 2 protiv i 1 suzdržan) kandidata za novog ministra zdravstva Vilija Beroša. „Dužnost ću obavljati hrabro i odgovorno. Pred nama je veliki posao!"" 2 url"
0,2 user Postoji velika razlika u kontekstu. Lažna vijest je ono kad namjerno plasiraš dezinformacije u javnost s nekim ciljem. Goebbels je to koristio da bi derao po medijima koji su pisali istinu koja nacistima nije odgovarala. Na taj način taj termin koristi Trump.
0,"Na Odboru za obrazovanje i sport Gradske skupštine jednoglasno smo dali podršku sklapanju ugovora o financiranju rekonstrukcije i uređenja bivše Vojne bolnice u Vlaškoj za Glazbeno učilište Elly Bašić iz sredstava EU u iznosu od gotovo 28 mil. kuna, odnosno 85% potrebnih. url"
0,"Izv. prof. dr. sc. Vili Beroš - novi ministar zdravstva! Hrvatski sabor iskazao mu je povjerenje s 81 glasom ZA, 1 suzdržanim & 43 protiv. Parlamentarna većina, predvođena HDZ-om, potvrdila je snagu i čvrstinu, a oporba svoju - nemoć. url"
1,haha pa nije taj corona virus toliko opasan da se ljudi moraju cijepit u parkovima usred noći
1,Najnovija tehnologija mobilnih mreža proteklih se dana bez ikakvih dokaza povezuje sa - širenjem koronavirusa. url
2,Novi #BIOcast! Glavna tema: Wuhan #coronavirus; nadam se da će Vam se intervju svidjeti i odgovoriti na sva pitanja. 2 user url
1,Ovaj fuck-to-graph HR sufiksa kao da je infiicran ne sa korona već nekim svetosavskm virusom Laže već u prvoj rečenici Instinkt mi govori da je netko iz njihove (srbofilne!)branše zaslužan za ovaj smiješni fasifikat na koji nasjedoše tek oni izrazitog intelektualnog deficita:rolling_on_the_floor_laughing: url
1,Može li vas obična kirurška maska za lice zaštititi od novog koronavirusa? Odgovor: NE Can wearing a face mask protect you from the new coronavirus? url
0,BIO JE U KINI U splitskoj bolnici muškarac u karanteni zbog sumnje na koronavirus url
1,"3 user Hehe najlakše je druge optuživati! Volio bih i ja da vi farmaceuti prozračite nekad ljekarnu i da dezinficirate češće kvake, pult i sve ostalo. Osim toga, pitanje je koliko maske štite. I da mi lijekove ne prodaju tehničari koji kurca ne znaju."
1,"user Hahahah! Ja monolog cijeli o tome tko treba koristiti maske, o virusu, širenju, zaštiti, a oni - ma, dajte cijelu kutiju! :person_shrugging_medium-light_skin_tone::female_sign:"
0,Službene brojke zaraženih i preminulih od Coronavirusa #udarno #svijet #koronavirus #Coronavirus #news url putem korisnika user
3,Kad će konačno i kod nas netko biti zaražen korona virusom! Ja ne znam kad smo nešto tako željno iščekivali kao taj korona virus.
0,"Hrvatski dom #NoviSlankamen, sjedište mjesnog Hrvatskog kulturno-prosvjetnog društva ""Stjepan Radić"", noćas bio meta vandalskog napada. #DSHV zahtijeva reakciju mjerodavnih institucija, otkrivanje počinitelja te da isti budu procesuirani i izvedeni pred lice pravde. url"
0,"Zanimljivo, #NO2 koji inače poraste s prometom osobito u doba velikih svetkovina u Kini koja slavi svoju novu godinu koncentracije su relativno niske. Uzrok nije poznat nepoznat, ali ekipa iz AC SAF-a misli da možda prokleti #coronavirus ima prste u tome. url"
1,Jedan od većih problema zdravstva je nedovoljna prevencija i prekasna dijagnostika. Među najgorima smo u Europi po broju novooboljelih od raka i po uspješnosti liječenja. Porazna je priča i da nekoliko tisuća žena u Zadru čeka na ginekološke preglede. url
0,"Kako tko s posla dojavi da je bolestan, tako ga stavljamo u karantenu. Nisam hipohondar, ali nisam baš zainteresirana da neku gripu dobijem. :knocked-out_face:"
3,"user Ihh, pa kaj nisi čula za kompjuterske viruse? Opreza nikad dosta, tko zna kad će koji virus mutirati! :rolling_on_the_floor_laughing:"
1,user Teška izolacija
1,Nekoliko spoznaja današnjeg dana: - stvarno dosta ružno popizdim kad mi se dira u prijatelje - nisam premlada da mi kažu da imam staračku dalekovidnost - debela depresivna kreativno zakočena Diane je sve #bojack
0,"Čak i zimi, obratite pažnju na to što jedete kkupljeno po ulicama (fast foodovima itd.)! ParaProteX je izvrsna pomoć tijekom vašeg putovanja jer prirodno podržava zaštitu tijela od bakterija, gljivica, virusa i... url"
0,"Pod uvjetom da se i oni poput LG-a i ZTE-a ne povuku s MWC-a u Barceloni zbog epidemije koronavirusa, Motorola će tamo predstaviti tri nova Moto G8 telefona. Neke će privući 5000 mAh baterija, druge stylus, a treće izgledno... 2 url"
0,"U prvim danima veljače u Hrvatskoj je primjetan manji intenzitet turističkog prometa iz Kine, što je posljedica sveobuhvatnih i strogih mjera kineskih vlasti radi sprečavanja širenja virusa, a u nadolazećem razdoblju očekuje se stabilizacija url"
0,"Šestero hrvatskih državljana u karanteni na japanskom kruzeru je zbrinuto i zasad nisu na popisu zaraženih koronavirusom, izvijestio organizator putovanja, tvrtka user . Putnici su opskrbljeni hranom, pićem, lijekovima i drugim potrepštinama. url"
0,user predsjednica s poluautomatskom puškom u strukiranoj maskirnoj uniformi.
1,"user Nez zakaj sam vidio ovo. Žao mi je i drago. Ova spodoba ako je doktor onda zaslužuje prijavu liječničkoj komori, zato što ovo pokazuje da je lud. Pošalji mi ime u inbox, ja ga prijavim. Hvala"
3,"O meni: Hiperaktivni liječnik, lajav i ponekad naporan. Ponosni influenser malih razmjera u uzlaznoj putanji. Specijalist i ljubitelj radiologije i svega u vezi s radijom. Obiteljski čovjek, malograđan i dobro građen. Puno čitam i malo skitam. Mnogo toga o meni je malo poznato."
0,"user Tlakomjer je medicinski proizvod, a ne roba. Nema materijalnog nedostatka ili neispravnosti stoga nismo prema zakonu dužne izvršiti povrat, a svakako ni sumnja u virus ne spada u moguće razloge reklamacije. O načinu širenja virusa sam krenula, ali ne znam koliko uspješno.. :person_shrugging_medium-light_skin_tone::female_sign:"
0,"Na azijskim su burzama u ponedjeljak cijene dionica pale, nastavljajući silaznom putanjom od kraja prošloga tjedna, dok ulagači prate vijesti o širenju koronavirusa i povratku Kineza na posao nakon produljenih novogodišnjih praznika. 2 url"
1,"trebalo je da sad u martu nastupimo u beogradu kao predgrupa i prvi put odsviramo uživo svih pet singlova (zaključno sa ovim koji sad radimo), ali zaglibili smo u viruse, upale pluća, otvaranja epk, karnevale i otkazali nastup. kasnimo i sa izbacivanjem singla. ma čemu žurba."
1,"2 user Možeš i dalje fulan ceo fudbal. Kažem u pravu si, ali tvoji primjeri nemaju veze s raspadom, marginalno. Kod mene u bolnici nema liste čekanja, termini ne znače k.. jer se radi od slučaja do slučaja, nemoj da ja nastavim. I dalje, sustav se raspao, ali ti si u krivu."
0,Potvrđeno: Ženska osoba primljena u KBC Split nema koronavirus. user url
0,"U globalnoj mreži fact-checking organizacija sudjeluje i naš vrijedni user , a za ovu priliku, razgovarala sam s kolegicom iz Brazila. Sve o međnarodnoj suradnji fact-checkera oko koronavirusa možete pronaći na user i user :) url"
0,ministar zdravstva 2 user gost je večerašnjeg Pressinga u 20 sati na user pitanja ostavite u komentarima ili na e-mail: pressing.zg@n1info.com url
1,"Ovogodišnji će MWC u Barceloni, inače najveća svjetska telekomunikacijska smotra, koronavirus nagriza i dalje. Još brendova odustaje ili reducira svoje nastupe. 2 url"
1,"Vili Beroš na user kaže da ne vidi ništa loše u tome da se novim Zakonom o pobačaju uvede obavezno savjetovanje za žene. Možda bi mu koristilo da baci pogled na izvješće user iz 2015., posebice dio o problemu pristranog savjetovanja te zaključak. url"
0,Foxconn će proizvoditi maske za zaštitu od koronavirusa! :grinning_face: Proizvođač iPhoneova na taj način vjerojatno vidi priliku za novi biznis :right_arrow:Saznaj više: url #foxconn #coronavirus #China #mask #health #business #vidimag url
3,Umro od Korona virusa...zvuči puno bolje nego...umro od svinjske gripe.
3,user Tu u mojoj zhradi je casino i baš sam na gmaps mjerio jel ima 500m od prve škole. Da ima onda bi url sebe navukao mirni prosvjed skupina organiziranog kriminala
1,Od CORONA VIRUSA je do sada stradalo 213 ljudi diljem svijeta. SVAKI DAN U SVIJETU OD GLADI UMIRE 20.000 duša. BAŠ SVAKI DAN! Nikoga se to ne tiče i nema mjesta panici...pa to je samo glad....a ne virus. #coronaviruses #koronavirus
0,Sveučilište u Zagrebu i tvrtka BIA Separations sklopili su sporazum o transferu tehnologije za patentirano rješenje pročišćavanja virusnih cjepiva kojim će biti omogućena primjena rješenja u praksi u procesima pročišćavanja virusa u tvrtkama u svijetu. :right_arrow: 2 url
3,"A i ove svakodnevne domaće epizode ""Tko će biti prvi koronaš""."
0,Strah od koronavirusa u Europi i dalje jak: U Bruxellesu održan izvanredni sastanak 2 url
0,Idem prema doma i prolazim kraj Mirogoja. Neka gospođa hoda s jednom crvenom ružom u ruci i ulazi na groblje. Jako sam zagrlio cure kad sam stigao kući.
1,"Bilo bi dobro da mediji ne najavljuju bombastično svaku sumnju na korona virus i onda opet objavljuju kako se radi o običnoj prehladi. Ne treba ljudima još stresa, a posebno što to zna prouzročiti još predrasuda prema nekima. Trenutno je nažalost puno više umrlih od gripe u nas."
0,"user Detaljnija analiza je pokazala kako su kratkovidni roditelji skloniji tome da ostavljaju upaljeno svjetlo u dječjoj sobi. Budući da je kratkovidnost djelomično nasljedna, takvi roditelji ujedno povećavaju vjerojatnost da će ta djeca kasnije biti kratkovidna."
0,"url Bruno Marić glavni instruktor za VAR: ""Pokazalo se da su naši suci kada je VAR u pitanju bolji od Španjolaca, Francuza, Talijana...Naš VAR funkcionira sjajno...No, ni jedna tehnologija nije savršena. Evo vam primjera sa utakmice NK Osijek-GNK Dinamo Zagr..."
2,"Gladovanje sprječava kardiovaskularne bolesti, pomaže pri liječenju astme, artroze, kroničnih bolesti probavnog sustava, nekih kroničnih infekcija dišnog sustava ili depresivnih stanja, tvrde zagovaratelji. url"
1,"Žele li doći do finala, Sixersi bi trebali odustati od replikacije modernog basketa. Oni su najčudnija, najatipičnija moderna ekipa i nema smisla da igraju pace and space Novi Čovjek koji je user u ekran url"
3,"Ameri su papirnate uveli več davno u filmovima... Pa,postanimo i mi junacima... Koristimo papirnate sa manjim izdacima... url"
3,Prije će naći cjepivo za koronavirus nego nekoga tko ima pozitivno mišljenje o savjetnici za obrazovanje novog predsjednika Republike :face_with_monocle:
0,"Koliko je zbog koronavirusa broj rezervacija za Hrvatsku manji nego lani i hoće li se nadoknaditi trenutni minusi? Priča o ""Zelenom srcu Hrvatske"" i pokladnim svečanostima u Cetinskoj krajini. #turizamhrt na HRT4 u 21:10 url"
0,PlayStation otkazao GDC zbog koronavirusa! Sony je objavio kako neće biti prisutan na ovogodišnjem GDC-u u San Franciscu! :right_arrow:Saznaj više: url #PlayStation #sony #GDC2020 #coronavirus #cancelled #gaming #conference #developers #vidimag url
1,"user Ja mislim da je ministar ""isposlovao"" javljanje u središnji dnevnik dalekovidnice sa stranačkom skupa svoje strančice....."
0,Znate li da i naši mačji pacijenti :cat_face: mogu imati probleme sa štitnjačom? Koji su simptomi? Kako se može dijagnosticirati? Saznajte koji su klasični znakovi oboljenja štitnjače url #trebaznati #veterinarskaambulanta #veterinarmarkovic #macke #catlife url
0,"Koronavirus se širi Italijom, Luxottica i UniCredit pozvali radnike da ostanu kod kuće url #koronavirus #Italija #UniCredit #Luxottica"
0,ČEKAJU SE NALAZI Talijan u izolaciji u riječkom KBC-u: Analizom će utvrditi je li zaražen koronavirusom url
0,"Na svjetskim su burzama cijene dionica prošloga tjedna oštro pale jer su ulagače zabrinule vijesti o širenju koronavirusa izvan Kine, a pojavljuju se i konkretni podaci o posljedicama te epidemije po gospodarstva url"
1,Ljudi kojima treba posebno naglašavati pranje ruku kao preventivu od koronavirusa ni nisu za drugo nego da ih satre.
1,"Koliko sam puta pročitala i čula riječ virus, razbolila sam se."
1,"#coronavirusitalia Premijer Conte: ispada da je sad Italija zemlja s najviše zaraženih u EU, ali kako bi to mogle biti i neke druge zemlje kada bi se radila rigoroznija testiranja. Ipak, dodao je kako je iznenađen eksplozijom broja slučajeva. No good:face_with_raised_eyebrow::unamused_face: url"
0,VAŽNA OBAVIJEST Po povratku iz Italije obavezno je kontaktirati epidemiološku službu Nastavnoga Zavoda za javno zdravstvo #udarno #vijesti #coronavirusitalIa url putem korisnika/ce user
3,Imotskom bi jedino pomogao Corona virus. Ništa dobro nije ispuzalo ispod tog kamena.
3,"Riječki karneval je ove godine toliko velik, da se onaj venecijanski neće ni primijetiti :face_with_tongue: #karneval2020 #koronavirus"
3,"user Ne širi paniku nego reci ljudima da se peru i da na bilo kakve simptome viroza, gripa trče doktoru, a ne da glume Balkance i kažu ""ma nije mi ništa, 'ta će mi doktor""."
2,2 user Jedino se kod njih u Europi pojavio virus. Bolje da odmah na startu sve stopi raju i da se dok je na broju 130 stavi pod kontrolu. Možemo biti sretni što je tako.
0,Stručnjaci: Nova faza u širenju koronavirusa url #koronavirus #coronavirus #WHO
3,"U Hrvatskoj se provode jake mjere kontrole virusa a one izgledaju ovako : ""Dobar dan, imate li fibru? Trenutno ne. Nije vam onda ništa.. Sljedećiiiiii"
0,"2 user I to samo uz ispravno korištenje, dezinfekciju ruku itd"
1,"user Sad možeš početi i sa svojim ad hominem argumentima... mi neuki, a ti doktor nauka... samo sam ti stavio primjer gdje fetus u 23. tjednu trudnoće postaje rođena beba... u kojem to trenutku ta beba postaje čovjek ? Ajde otvori mi oči, ili ti ili bilo koji doktor s ""tvoje strane"""
0,"PORUKA MINISTRA ZDRAVSTVA Beroš smiruje situaciju oko koronavirusa: Podići ćemo stupanj opreza, ali ne treba dizati paniku' url"
3,"user Ako je i bilo virusa, češnjak ih je pobio. Opreza radi - konzumirati samo nakon dinstanja!"
1,"user Očito da nije kad je riječ o autohtonom virusu :grinning_face: Ako je to točno , može biti grdo"
3,"Antena Zadar se prodala koronavirusu, zbog 200-tinjak lajkova, nova razina žutila......"
3,user I u slučaju coronavirusa nada umire posljednja.
3,"Znaci ova dnovinarka zaziva epidemiju koronavirusa u RH, naravno sa stotinama/tisucama mrtvih (ukljucujuci moguce i njene bliznje jer virus ne bira) jer se netko na maškarama usudio taknuti u LGBT populaciju. :face_vomiting::face_vomiting::face_vomiting: Od danas se slobodno moze reci ""glup ko Sandra Bartolovic"". url"
3,"4 user Vi pregovarate a koronavirus hara.,čovječanstvo je u velikoj opasnosti.,kome čete biti vladari veleumni političari??????"
3,"Čekaj ne kontam, šta nam prijeti hrono ishrana ili korona dijeta?"
0,Analitičari BNP Paribasa objavili su preporuku o dionicama i sektorima koje valja kupovati tijekom krize s koronavirusom. url
0,Hoće li koronavirus utjecati na turizam ove godine?
1,"Kaže stara da joj idem kupiti 100 kila brašna. I germe. I soli. Kažem, mama ljudi kupuju maske a ne brašno. Mama: ne dolazi mi kući kad zavrne u želucu, već jedi te svoje maske."
3,"Kihnula sam. Možda je koronavirus. :zombie::female_sign::zombie::female_sign::zombie::female_sign: Naši nikoga da nađu barem jednog oboljelog. Ne tražimo puno. Ovo je večeras valjda bilo peto Otvoreno na tu temu. Svi ti krizni stožeri, a KGK bi sigurno sazvala i Vijeće za nacionalnu sigurnost...1/2"
3,"Milanović ima previše posla u Taču- mijenjali su jelovnik. A i nije previše društven. Držimo fige za ovaj brod koji donosi dijelove za Pelješki most. Barem jedan pomorac da ga hitnemo u karantenu i da ga svi mogu fotkati, a ministar razgovarati preko portafona sa njim. :crossed_fingers::crossed_fingers::crossed_fingers:2/2"
1,"Dok se situacija oko koronavirusa malo ne stabilizira i ne razjasni, sve druge vijesti su šum u komunikacijskom prostoru. Sve. Sorry ekipa. url"
0,Kina zabranila konzumaciju divljih životinja url #China #meat #wildanimals #meso #koronavirus #Kina
3,"Ako me mazne coronavirus imam 98% šanse da ću preživiti. U slučaju velike koalicije (HDZ-SDP), koeficijent mi drastično pada. :smiling_face_with_sunglasses:"
3,"Čovjek bi, prateći hrvatske medije, mogao jedva čekati da corona virus konačno dođe u Hrvatsku. Mediji najavljuju corona virus kao alkare: dolazi idući, ulazi u Zaraznu bolnicu, uzimaju mu uzorak, ovaj bi mogao biti slavodobitnik, uništa! #medijskaslikaHr... url"
0,Beroš: U 80 posto slučajeva klinička slika kod oboljelih je blaga i ljudi ni ne znaju da su preboljeli koronavirus - url #vijesti #hrvatska url
3,"Ako ništa drugo, u ovoj korona-krizi konačno ćemo vidjeti na djelu funkcioniranje uvelike hvaljenog sustava domovinske sigurnosti. #politikahr"
1,"ovog se bojim više nego virusa... panike, histerije url"
3,user Tamo si sigurna. Neće korona u staklenjak
0,"Ivan Đikić: Ovaj virus je sličan influenca virusu. Kod gripe je smrtnost jedan posto i lani uzela 65.000 života. Kod korone se pokazalo za sada da je smrtnost dva posto, uglavnom podliježu stariji i ljudi slabijeg imunološkog sustava #coronaviruscroatia url"
3,Što ćete vi obući za dočeka koronavirusa? url #vijesti
2,"Ugodno sam iznenađena Vilijem Berošom. Sabran je, ne diže paniku i djeluje kao da ima situaciju pod kontrolom. #Coronavirius"
3,"Ok, već sam mislio da ćemo i u tome biti zadnji! Dobro, bar korona nije puno kasnila u ovu zemlju"
3,"Zadnji puta kada sam bio u Milanu, dobili smo četiri komada od Atlante! Korona, korona ... :smiling_face_with_sunglasses: url"
0,Zamjenik iranskog ministra zdravstva zaražen koronavirusom url #Harirchi #Iran #coronavirus #koronavirus
1,"""Ovaj korona virus je došao u Hrvatsku da se skrene pozornost sa suđenja Perkoviću i Mustaču u Njemačkoj."" Tomislav Karamarko, navodno"
0,Prvi detektirani oboljeli od koronavirusa u Hrvatskoj je u Zagrebu. Više na: url Današnju situaciju u Rijeci pratimo na: url
1,Ne kužim što predsjednik neke političke stranke ima slati izjavu o koronavirusu? Pa nije stigla delegacija MMF-a
3,A pošto sam na svaku teoriju koju sam čuo okrenuo očima i kakve sam jebene sreće taj tifus od virusa bi baš mene mogao pogoditi. Nema druge nego da danas zavirim u čašicu i naližem se domaće rakije. Jedno po litre
3,Nadam se da virus neće zahvatiti user koliko god mu se ona veselila.
3,nametnut ću si svojevoljnu samoizolaciju samo da ne moram slušat paničarenje oko virusa
0,PREPORUKE HZJZ-a Koronavirus je stigao u Hrvatsku! Evo kojih se uputa građani trebaju pridržavati kako bi se zaštitili url
0,"Koronavirus utječe na gospodarstvo, no koliko, teško je procijeniti url"
1,"Vjerujem da znate da je prva karantena u svijetu osnovana u Dubrovniku 1377. godine. Osnovali su je Srbi-katolici:rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:, rekli bi njihovi ""istoričari"" i u početku je bila trentina (za trideset dana izolacije), a tek nakon produljenja roka na 40 dana dobila je naziv karantena"
1,"U ovom trenutku je opasnije vidjeti Kineza kako kašlje, nego Arapa kako nosi ruksak :face_with_tears_of_joy::hear-no-evil_monkey: #coronavirus #hrvatska"
1,"6 user Sirota S. B., treba je žaliti! Zločestoća je pogubnija i kontaminira više nego #Koronavirus!"
0,"Sinjanka koja se liječila u Italiji: HZJZ ne govori istinu, danas me na granici nitko nije ni zaustavio, a dolazim iz pokrajine u kojoj umiru ljudi! - url #vijesti #hrvatska url"
1,"user Ponavljamo to svaki dan, većina ljudi će ozdraviti sami od sebe, virus je opasan samo za mali broj ljudi, stopa smrtnosti je za sada maksimalno 3 posto"
0,"Dok se koronavirus pokušava kontrolirati diljem svijeta, važno je i da se na društvenim mrežama ponašamo odgovorno i da dijelimo samo službene informacije! :backhand_index_pointing_left: Evo kako se možete efektivno zaštititi - podijelite! :warning: #MagnetMedija:magnet: url"
0,Čovjek s tenkićem o virusu: url
3,"Mole se turisti koji su boravili u Italiji, Kini... da prvo prošeću Markovim trgom, prije odlaska u karantenu... hvala, uprava."
3,"Pomolila sam se za tviteraše, sada ste svi sigurni od koronavirusa. Nema na čemu, idite u miru."
3,Neće koronavirus ovdje dugo izdržati. Otići će u Irsku.
1,"O kada bi nasi mediji samo izvještavali o koronavirusu smireno, nesenzacionalisticki, bez pompoznih naslova i histerije jer se to isto ponasanje preslikava na stanovništvo i nastaje kaos. Ne zbog koronavirusa, nego zbog ljudi. Samodestrukcija. A ni ne zaslužujemo bolje."
0,Molim vas mišljenje o korona virusu hvala???.
0,Koronavirus u Hrvatskoj - što znamo dosad #udarno #vijesti #aktualno #Hrvatska #coronavirus url putem korisnika user
0,"Igor Rudan objasnio što koronavirus čini u tijelu čovjeka i kako se nositi s njim url #vijesti ispada po doktoru, da su ovi virusi razumniji od ljevičara. Oni pak vole sto prije unistiti stanište u koje se uvale."
3,"Srbija već ima dva slučaja krono virusa prije nas, a mi tek jedan. Opet neka masonska namještaljka!!"
0,"RTL dobio službenu potvrdu: Zbog koronavirusa, KBC Zagreb otkazao obavljanje operacija! 2 url"
0,Svih 1900 zappslenika Ericsson Nikola Tesla user u Zagrebu sutra ne moraju doći na posao. Provest će se dezimfekcija radnog prostora a onda će se javiti zaposlenicima što dalje. 40 radnika odlučilo se za kućnu samoizolaciju user
